idgaraza,imegaraza,ulica,broj,kvart,brojmjesta,brojrazina,maksimalnavisina,dostupnostpovlastenekarte,pocetak,kraj,cijena,idlokacije,opislokacije
1,Importanne Centar,Trg Ante Starčevića,7,Donji Grad,450,2,2.4,true,00:00:00,24:00:00,2.00,1,tržni/poslovni centar
2,Importanne Galleria,Iblerov trg,10,Donji Grad,500,4,2.5,true,00:00:00,24:00:00,2.00,1,tržni/poslovni centar
3,Langov trg - Langić,Trg Josipa Langa,13,Medvešćak,305,6,2.1,true,08:00:00,21:00:00,1.60,2,javna garaža
3,Langov trg - Langić,Trg Josipa Langa,13,Medvešćak,305,6,2.1,true,21:00:00,08:00:00,0.80,2,javna garaža
4,Cvjetni,Varšavska ulica,13,Centar,292,6,2.2,true,00:00:00,24:00:00,2.60,1,tržni/poslovni centar
5,Petrinjska,Petrinjska ulica,59,Donji Grad,134,3,2.0,true,08:00:00,21:00:00,1.60,2,javna garaža
5,Petrinjska,Petrinjska ulica,59,Donji Grad,134,3,2.0,true,21:00:00,08:00:00,0.80,2,javna garaža
6,Kaptol Centar,Nova ves,17,Kaptol,461,2,2.1,true,00:00:00,24:00:00,2.00,1,tržni/poslovni centar
7,Kvaternikov trg,Kvaternikov trg,6,Maksimir,354,3,2.1,true,08:00:00,18:00:00,1.10,2,javna garaža
7,Kvaternikov trg,Kvaternikov trg,6,Maksimir,354,3,2.1,true,18:00:00,08:00:00,0.50,2,javna garaža
8,KB Rebro,Kišpatićeva ulica,12,Maksimir,664,3,2.0,true,07:00:00,18:00:00,0.80,2,javna garaža
8,KB Rebro,Kišpatićeva ulica,12,Maksimir,664,3,2.0,true,18:00:00,07:00:00,0.40,2,javna garaža
9,KB Sveti Duh,Sveti Duh,64,Črnomerec,477,4,2.0,true,07:00:00,18:00:00,0.70,3,bolnički parking
9,KB Sveti Duh,Sveti Duh,64,Črnomerec,477,4,2.0,true,18:00:00,07:00:00,0.40,3,bolnički parking
10,Tuškanac,Tuškanac,1b,Tuškanac,465,4,2.3,true,08:00:00,21:00:00,1.60,2,javna garaža
11,Garage International,Miramarska,24,Trnje,447,9,2.2,true,00:00:00,24:00:00,1.50,1,tržni/poslovni centar
